That's What I Like,That's What I Like,STAY with Justin Bieber,Choke,INDUSTRY BABY feat. Jack Harlow,Believer,Without Me with Juice WRLD,HUMBLE.,Unforgettable,7 rings,God's Plan,bzip2,reverb,30
Cruel Summer,Cruel Summer,God's Plan,Thinking out Loud,Can't Hold Us feat. Ray Dalton,There's Nothing Holdin' Me Back,Stressed Out,New Rules,Die For You,Bohemian Rhapsody - Remastered 2011,Walk On Water,bzip2,reverb,30
Sweater Weather,Sweater Weather,Bohemian Rhapsody - Remastered 2011,Do I Wanna Know?,Watermelon Sugar,Man On the Moon,Can't Hold Us feat. Ray Dalton,God's Plan,Closer,All of Me,Another Love,bzip2,reverb,30
Let Her Go,Let Her Go,Another Love,Flowers,Stressed Out,Centipede,Watermelon Sugar,Can't Hold Us feat. Ray Dalton,Don't Start Now,Bohemian Rhapsody - Remastered 2011,Thinking out Loud,bzip2,reverb,30
VICIOUS CYCLE,VICIOUS CYCLE,HUMBLE.,Happier,New Rules,One Kiss with Dua Lipa,God's Plan,XO Tour Llif3,Can't Hold Us feat. Ray Dalton,Jocelyn Flores,SICKO MODE,bzip2,reverb,30
Smells Like Teen Spirit,Smells Like Teen Spirit,Bohemian Rhapsody - Remastered 2011,Treat You Better,Mr. Brightside,All of Me,God's Plan,Too Good At Goodbyes,Can't Hold Us feat. Ray Dalton,Man On the Moon,Closer,bzip2,reverb,30
The Hills,The Hills,INDUSTRY BABY feat. Jack Harlow,One Kiss with Dua Lipa,That's What I Like,No Role Modelz,Can't Hold Us feat. Ray Dalton,Bohemian Rhapsody - Remastered 2011,Havana feat. Young Thug,I Wanna Be Yours,God's Plan,bzip2,reverb,30
One Kiss with Dua Lipa,One Kiss with Dua Lipa,New Rules,Stressed Out,Circles,Can't Hold Us feat. Ray Dalton,God's Plan,Happier,No Role Modelz,Just the Way You Are,Havana feat. Young Thug,bzip2,reverb,30
Sunflower - Spider-Man Into the Spider-Verse,Sunflower - Spider-Man: Into the Spider-Verse,Can't Hold Us feat. Ray Dalton,There's Nothing Holdin' Me Back,Don't Start Now,Circles,Thinking out Loud,God's Plan,When I Was Your Man,Bohemian Rhapsody - Remastered 2011,Die For You,bzip2,reverb,30
Shine On,Shine On,INDUSTRY BABY feat. Jack Harlow,Treat You Better,Choke,No Role Modelz,Bohemian Rhapsody - Remastered 2011,Closer,God's Plan,Stressed Out,Do I Wanna Know?,bzip2,reverb,30
Starboy,Starboy,Watermelon Sugar,New Rules,One Kiss with Dua Lipa,When I Was Your Man,Circles,Havana feat. Young Thug,Can't Hold Us feat. Ray Dalton,Don't Start Now,Stressed Out,bzip2,reverb,30
