Lucid Dreams,Lucid Dreams,New Rules,HUMBLE.,All of Me,One Kiss with Dua Lipa,goosebumps,Unforgettable,Can't Hold Us feat. Ray Dalton,No Role Modelz,Choke,bzip2,reverb,40
When I Was Your Man,When I Was Your Man,HUMBLE.,New Rules,One Kiss with Dua Lipa,God's Plan,Can't Hold Us feat. Ray Dalton,Happier,Flowers,Watermelon Sugar,Too Good At Goodbyes,bzip2,reverb,40
goosebumps,goosebumps,New Rules,Can't Hold Us feat. Ray Dalton,Coconut Water,Circles,Don't Start Now,SICKO MODE,Happier,Counting Stars,God's Plan,bzip2,reverb,40
Heat Waves,Heat Waves,My Goodbye,Counting Stars,Can't Hold Us feat. Ray Dalton,Bohemian Rhapsody - Remastered 2011,Choke,Unforgettable,Die For You,God's Plan,Havana feat. Young Thug,bzip2,reverb,40
Without Me with Juice WRLD,Without Me with Juice WRLD,Die For You,Choke,Unforgettable,That's What I Like,God's Plan,INDUSTRY BABY feat. Jack Harlow,SICKO MODE,My Goodbye,Can't Hold Us feat. Ray Dalton,bzip2,reverb,40
Smells Like Teen Spirit,Smells Like Teen Spirit,Mr. Brightside,Bohemian Rhapsody - Remastered 2011,Treat You Better,Thunder,Closer,In the End,Every Breath You Take,Choke,God's Plan,bzip2,reverb,40
Centipede,Centipede,Another Love,Let Her Go,Bohemian Rhapsody - Remastered 2011,Don't Start Now,Can't Hold Us feat. Ray Dalton,Flowers,Wake Me Up - Radio Edit,Shallow,Do I Wanna Know?,bzip2,reverb,40
Stressed Out,Stressed Out,New Rules,Choke,Can't Hold Us feat. Ray Dalton,Photograph,Too Good At Goodbyes,No Role Modelz,Treat You Better,Die For You,Thunder,bzip2,reverb,40
XO Tour Llif3,XO Tour Llif3,Don't Start Now,New Rules,Can't Hold Us feat. Ray Dalton,Choke,God's Plan,One Kiss with Dua Lipa,Thinking out Loud,All of Me,There's Nothing Holdin' Me Back,bzip2,reverb,40
Without Me,Without Me,Do I Wanna Know?,Stressed Out,Can't Hold Us feat. Ray Dalton,Havana feat. Young Thug,Don't Start Now,Watermelon Sugar,Thinking out Loud,Bohemian Rhapsody - Remastered 2011,Too Good At Goodbyes,bzip2,reverb,40
Circles,Circles,Can't Hold Us feat. Ray Dalton,New Rules,Bohemian Rhapsody - Remastered 2011,Señorita,Flowers,When I Was Your Man,goosebumps,Happier,God's Plan,bzip2,reverb,40
Sweater Weather,Sweater Weather,Bohemian Rhapsody - Remastered 2011,Do I Wanna Know?,Can't Hold Us feat. Ray Dalton,Man On the Moon,Closer,Flowers,All of Me,God's Plan,Watermelon Sugar,bzip2,reverb,40
Love Yourself,Love Yourself,Photograph,My Goodbye,Shape of You,INDUSTRY BABY feat. Jack Harlow,Counting Stars,SICKO MODE,There's Nothing Holdin' Me Back,XO Tour Llif3,Die For You,bzip2,reverb,40
VICIOUS CYCLE,VICIOUS CYCLE,God's Plan,Can't Hold Us feat. Ray Dalton,goosebumps,Coconut Water,Havana feat. Young Thug,New Rules,Jocelyn Flores,Do I Wanna Know?,SICKO MODE,bzip2,reverb,40
Let Her Go,Let Her Go,Another Love,Stressed Out,Do I Wanna Know?,Centipede,Flowers,Havana feat. Young Thug,Bohemian Rhapsody - Remastered 2011,goosebumps,Can't Hold Us feat. Ray Dalton,bzip2,reverb,40
Say You Won't Let Go,Say You Won't Let Go,Do I Wanna Know?,Bohemian Rhapsody - Remastered 2011,Too Good At Goodbyes,Closer,Can't Hold Us feat. Ray Dalton,INDUSTRY BABY feat. Jack Harlow,God's Plan,SICKO MODE,Sweater Weather,bzip2,reverb,40
Sparkling Moments,Sparkling Moments,Señorita,Circles,Too Good At Goodbyes,New Rules,Havana feat. Young Thug,Watermelon Sugar,Can't Hold Us feat. Ray Dalton,Happier,Bohemian Rhapsody - Remastered 2011,bzip2,reverb,40
Can't Hold Us feat,Can't Hold Us feat. Ray Dalton,Bohemian Rhapsody - Remastered 2011,God's Plan,Die For You,Counting Stars,Lose Yourself,New Rules,goosebumps,Photograph,Señorita,bzip2,reverb,40
Lele,Lele,Choke,Closer,Unforgettable,Die For You,Bohemian Rhapsody - Remastered 2011,Without Me with Juice WRLD,Can't Hold Us feat. Ray Dalton,INDUSTRY BABY feat. Jack Harlow,No Role Modelz,bzip2,reverb,40
Just the Way You Are,Just the Way You Are,Happier,Too Good At Goodbyes,Watermelon Sugar,New Rules,Say You Won't Let Go,Bohemian Rhapsody - Remastered 2011,Stressed Out,Can't Hold Us feat. Ray Dalton,God's Plan,bzip2,reverb,40
Let Me Love You,Let Me Love You,Man On the Moon,Bohemian Rhapsody - Remastered 2011,Sweater Weather,Viva La Vida,Havana feat. Young Thug,All of Me,Demons,Mr. Brightside,I Wanna Be Yours,bzip2,reverb,40
Viva La Vida,Viva La Vida,Bohemian Rhapsody - Remastered 2011,Closer,Mr. Brightside,Man On the Moon,Smells Like Teen Spirit,God's Plan,Treat You Better,Can't Hold Us feat. Ray Dalton,All of Me,bzip2,reverb,40
