Flowers,Flowers,Can't Hold Us feat. Ray Dalton,Thunder,Circles,Havana feat. Young Thug,Señorita,Watermelon Sugar,Happier,Counting Stars,Don't Start Now,gzip,reverb,60
Die For You,Die For You,Can't Hold Us feat. Ray Dalton,Shape of You,Counting Stars,My Goodbye,7 rings,Havana feat. Young Thug,Thinking out Loud,There's Nothing Holdin' Me Back,XO Tour Llif3,gzip,reverb,60
Cuidado,Cuidado,Can't Hold Us feat. Ray Dalton,Do I Wanna Know?,Choke,Havana feat. Young Thug,Man On the Moon,Say You Won't Let Go,Closer,STAY with Justin Bieber,One Dance,gzip,reverb,60
New Rules,New Rules,Can't Hold Us feat. Ray Dalton,Coconut Water,Señorita,Flowers,Circles,One Kiss with Dua Lipa,goosebumps,Don't Start Now,Thunder,gzip,reverb,60
Jocelyn Flores,Jocelyn Flores,Havana feat. Young Thug,Can't Hold Us feat. Ray Dalton,Happier,When I Was Your Man,Bohemian Rhapsody - Remastered 2011,Do I Wanna Know?,Man On the Moon,There's Nothing Holdin' Me Back,SICKO MODE,gzip,reverb,60
Wake Me Up - Radio Edit,Wake Me Up - Radio Edit,Can't Hold Us feat. Ray Dalton,Havana feat. Young Thug,Thinking out Loud,Bohemian Rhapsody - Remastered 2011,Circles,There's Nothing Holdin' Me Back,Something Just Like This,Sunflower - Spider-Man: Into the Spider-Verse,SICKO MODE,gzip,reverb,60
Viva La Vida,Viva La Vida,STAY with Justin Bieber,Can't Hold Us feat. Ray Dalton,Havana feat. Young Thug,Mr. Brightside,Treat You Better,Closer,Bohemian Rhapsody - Remastered 2011,Counting Stars,Unforgettable,gzip,reverb,60
Photograph,Photograph,Can't Hold Us feat. Ray Dalton,Counting Stars,Shape of You,Die For You,Treat You Better,Havana feat. Young Thug,Thinking out Loud,Every Breath You Take,Unforgettable,gzip,reverb,60
Love Yourself,Love Yourself,Shape of You,Can't Hold Us feat. Ray Dalton,Havana feat. Young Thug,Counting Stars,Die For You,My Goodbye,SICKO MODE,Photograph,God's Plan,gzip,reverb,60
One Kiss with Dua Lipa,One Kiss with Dua Lipa,Can't Hold Us feat. Ray Dalton,New Rules,Circles,Don't Start Now,Señorita,Flowers,Coconut Water,Stressed Out,Starboy,gzip,reverb,60
SAD!,SAD!,Can't Hold Us feat. Ray Dalton,Havana feat. Young Thug,Do I Wanna Know?,Demons,Say You Won't Let Go,Man On the Moon,Sweater Weather,Bohemian Rhapsody - Remastered 2011,Closer,gzip,reverb,60
