Flowers,Flowers,Thunder,Can't Hold Us feat. Ray Dalton,Circles,Señorita,Don't Start Now,Havana feat. Young Thug,Bohemian Rhapsody - Remastered 2011,Stressed Out,New Rules,zstd,reverb,60
Die For You,Die For You,Counting Stars,Can't Hold Us feat. Ray Dalton,Shape of You,My Goodbye,XO Tour Llif3,That's What I Like,7 rings,Something Just Like This,God's Plan,zstd,reverb,60
Cuidado,Cuidado,Do I Wanna Know?,Havana feat. Young Thug,Bohemian Rhapsody - Remastered 2011,Man On the Moon,Too Good At Goodbyes,I Wanna Be Yours,Sorry,Believer,SICKO MODE,zstd,reverb,60
New Rules,New Rules,Can't Hold Us feat. Ray Dalton,Starboy,Coconut Water,Don't Start Now,One Kiss with Dua Lipa,Something Just Like This,Thunder,goosebumps,Sweater Weather,zstd,reverb,60
Jocelyn Flores,Jocelyn Flores,Bohemian Rhapsody - Remastered 2011,Havana feat. Young Thug,God's Plan,Happier,Too Good At Goodbyes,SICKO MODE,One Kiss with Dua Lipa,There's Nothing Holdin' Me Back,Do I Wanna Know?,zstd,reverb,60
Wake Me Up - Radio Edit,Wake Me Up - Radio Edit,Havana feat. Young Thug,Can't Hold Us feat. Ray Dalton,Bohemian Rhapsody - Remastered 2011,Thinking out Loud,Circles,Don't Start Now,SICKO MODE,There's Nothing Holdin' Me Back,XO Tour Llif3,zstd,reverb,60
Viva La Vida,Viva La Vida,Havana feat. Young Thug,Treat You Better,Mr. Brightside,STAY with Justin Bieber,Bohemian Rhapsody - Remastered 2011,No Role Modelz,Unforgettable,SICKO MODE,Smells Like Teen Spirit,zstd,reverb,60
Photograph,Photograph,Counting Stars,Ether,Treat You Better,My Goodbye,Die For You,Unforgettable,Can't Hold Us feat. Ray Dalton,Choke,Stressed Out,zstd,reverb,60
Love Yourself,Love Yourself,Shape of You,Havana feat. Young Thug,My Goodbye,God's Plan,Can't Hold Us feat. Ray Dalton,Bohemian Rhapsody - Remastered 2011,SICKO MODE,Counting Stars,Photograph,zstd,reverb,60
One Kiss with Dua Lipa,One Kiss with Dua Lipa,Starboy,New Rules,Can't Hold Us feat. Ray Dalton,Circles,Havana feat. Young Thug,Don't Start Now,Coconut Water,Something Just Like This,Bohemian Rhapsody - Remastered 2011,zstd,reverb,60
SAD!,SAD!,Havana feat. Young Thug,Sweater Weather,Bohemian Rhapsody - Remastered 2011,Can't Hold Us feat. Ray Dalton,Do I Wanna Know?,Man On the Moon,Say You Won't Let Go,SICKO MODE,I Wanna Be Yours,zstd,reverb,60
Centipede,Centipede,Stressed Out,Let Her Go,Another Love,Flowers,Walk On Water,Wake Me Up - Radio Edit,Thinking out Loud,Can't Hold Us feat. Ray Dalton,Take Me To Church,zstd,reverb,60
Another Love,Another Love,Can't Hold Us feat. Ray Dalton,Don't Start Now,Circles,Stressed Out,Counting Stars,Señorita,Havana feat. Young Thug,goosebumps,New Rules,zstd,reverb,60
Shallow,Shallow,Havana feat. Young Thug,When I Was Your Man,Bohemian Rhapsody - Remastered 2011,Can't Hold Us feat. Ray Dalton,Let Her Go,Happier,Wake Me Up - Radio Edit,God's Plan,Do I Wanna Know?,zstd,reverb,60
Without Me,Without Me,Treat You Better,Lose Yourself,Stressed Out,bad guy,Smells Like Teen Spirit,Choke,Counting Stars,Walk On Water,Do I Wanna Know?,zstd,reverb,60
Havana feat,Choke,Havana feat. Young Thug,Without Me,Starboy,Counting Stars,Sweater Weather,Stay With Me,Believer,Lose Yourself,Thunder,zstd,reverb,60
VICIOUS CYCLE,VICIOUS CYCLE,Havana feat. Young Thug,Can't Hold Us feat. Ray Dalton,God's Plan,Happier,Bohemian Rhapsody - Remastered 2011,SICKO MODE,goosebumps,Too Good At Goodbyes,XO Tour Llif3,zstd,reverb,60
Smells Like Teen Spirit,Smells Like Teen Spirit,Mr. Brightside,Bohemian Rhapsody - Remastered 2011,Treat You Better,Havana feat. Young Thug,Counting Stars,In the End,Every Breath You Take,SICKO MODE,bad guy,zstd,reverb,60
Yellow,Yellow,Counting Stars,Bohemian Rhapsody - Remastered 2011,Can't Hold Us feat. Ray Dalton,Havana feat. Young Thug,Take Me To Church,Man On the Moon,Treat You Better,Without Me,Every Breath You Take,zstd,reverb,60
Sparkling Moments,Sparkling Moments,Señorita,Circles,Bohemian Rhapsody - Remastered 2011,Can't Hold Us feat. Ray Dalton,Stressed Out,Havana feat. Young Thug,Flowers,Counting Stars,Smells Like Teen Spirit,zstd,reverb,60
rockstar,Choke,Lose Yourself,Can't Hold Us feat. Ray Dalton,Starboy,Thunder,goosebumps,Without Me,Unforgettable,bad guy,Lean On feat. MØ & DJ Snake,zstd,reverb,60
Circles,Circles,Señorita,Flowers,Thunder,Havana feat. Young Thug,Bohemian Rhapsody - Remastered 2011,Don't Start Now,Counting Stars,goosebumps,Smells Like Teen Spirit,zstd,reverb,60
As It Was,As It Was,Counting Stars,Can't Hold Us feat. Ray Dalton,Die For You,Something Just Like This,Havana feat. Young Thug,My Goodbye,Shape of You,Don't Start Now,Unforgettable,zstd,reverb,60
Coconut Water,Coconut Water,Can't Hold Us feat. Ray Dalton,New Rules,Something Just Like This,Don't Start Now,goosebumps,Starboy,Stressed Out,Circles,XO Tour Llif3,zstd,reverb,60
